icao_code,type,latitude,longitude
KSMF,large_airport,38.6954,-121.591003
KSMO,medium_airport,34.0158,-118.450996
KSNA,large_airport,33.675063,-117.869281
KSQL,medium_airport,37.51313,-122.250838
KSUU,medium_airport,38.262699,-121.927002
KTVF,medium_airport,48.065701,-96.184998
KVEL,medium_airport,40.436214,-109.511661
KVGT,medium_airport,36.209074,-115.193982
KVNY,medium_airport,34.209801,-118.489998
LBWB,medium_airport,43.423801,28.181299
LFAC,medium_airport,50.962101,1.95476
LFAV,medium_airport,50.327823,3.461061
LFBF,medium_airport,43.545601,1.3675
LFBO,large_airport,43.629101,1.36382
LFCC,medium_airport,44.351398,1.47528
LFCI,medium_airport,43.913898,2.11306
LFCR,medium_airport,44.407902,2.48267
LFDH,medium_airport,43.683606,0.599747
LFLI,medium_airport,46.192001,6.26839
LFLL,large_airport,45.725996,5.090139
LFLM,medium_airport,46.295131,4.795977
LFLO,medium_airport,46.053818,3.999023
LFLP,medium_airport,45.928947,6.0987
LFLW,medium_airport,44.891399,2.42194
LFLY,medium_airport,45.727947,4.943991
LFMH,medium_airport,45.5406,4.29639
LFNB,medium_airport,44.502102,3.53282
LFQQ,large_airport,50.566564,3.102429
LFQT,medium_airport,50.618401,2.64224
LFSB,large_airport,47.60068,7.521117
LFXA,medium_airport,45.987301,5.32844
LHKE,medium_airport,46.9175,19.749201
LHPR,medium_airport,47.628436,17.804718
LHTL,medium_airport,47.345299,18.980801
LOAN,medium_airport,47.8433,16.260099
LOWL,large_airport,48.235362,14.188128
LOWS,large_airport,47.793301,13.0043
LOXN,medium_airport,47.836933,16.221838
LR80,medium_airport,44.3923,27.7267
LRAR,medium_airport,46.176136,21.264322
LRBS,large_airport,44.503133,26.102944
LRCS,medium_airport,45.420142,22.252507
LROP,large_airport,44.571792,26.103285
LRSB,large_airport,45.785841,24.086666
LRTR,large_airport,45.809898,21.3379
LSGC,medium_airport,47.083900451699996,6.792840003970001
LSGG,large_airport,46.238098,6.10895
LSMA,medium_airport,46.943901,8.28417
LSMD,medium_airport,47.398602,8.64823
LSME,medium_airport,47.092444,8.305184
LSMP,medium_airport,46.8432,6.91506
LSZB,medium_airport,46.912736,7.498819
LSZG,medium_airport,47.181599,7.41719
LSZH,large_airport,47.458056,8.548056
LSZR,medium_airport,47.485001,9.56077
LTCB,medium_airport,40.966872,38.085995
LTCF,medium_airport,40.562198638916016,43.1150016784668
LTCG,medium_airport,40.995098,39.7897
LTFH,medium_airport,41.253988,36.567546
LTFO,large_airport,41.179766,40.848802
OPDI,medium_airport,31.909401,70.896599
OPFA,large_airport,31.364923,72.995319
OPLA,large_airport,31.521601,74.403603
UG11,medium_airport,40.8876,45.957001
UB14,medium_airport,40.27360153198242,48.16360092163086
UBBG,large_airport,40.738692,46.320383
UBBQ,medium_airport,40.808617,47.725389
UDSG,large_airport,40.750401,43.859299
VABB,large_airport,19.088699,72.867897
VABO,large_airport,22.336201,73.226303
VIAR,large_airport,31.7096,74.797302
VIDD,medium_airport,28.585453,77.203563
VIDP,large_airport,28.55563,77.09519
VIHR,large_airport,29.186065,75.74142
VIHX,large_airport,30.748501,75.629799
VIJP,large_airport,26.8242,75.812202
VIKG,medium_airport,26.591007,74.812956
VILD,medium_airport,30.854700088500977,75.95259857177734
